surface,radius_mm,thickness_mm,glass,clear_radius_mm,mechanical_radius_mm,stop
1,191.905229641536,3.50387081492413,KF9,41.0,41.0,False
2,33.4135464178149,12.6757598707727,,29.0,29.0,False
3,37.3903447722693,15.9711092527566,N-LAK33B,25.8,25.8,False
4,60.52826554061169,11.6874706072423,,19.5,19.5,False
5,36.5415170467468,2.92490596607673,N-LAK33B,15.0,15.0,False
6,43.5321635938975,4.96613072837543,,14.5,14.5,False
7,inf,1.5447603145228,,14.233194824546594,14.233194824546594,True
8,99.8590914836321,13.2587072674808,N-SK5,14.4,14.4,False
9,-24.2720064270396,4.60564192169687,F2,14.4,14.4,False
10,-42.0192735451588,0.906249721782362,,15.5,15.5,False
11,-40.6734734984,5.14317961861242,K10,14.0,14.0,False
12,204.099207180184,135.222518763499,,18.8,18.8,False
