candidate,sampling,max_shortfall,deficit_rms,at_or_above_count,total,f5p6_max,f8_max,f22_max,all_at_or_above
macro_parallel1 formal high-sampling,"{'5.6': 1024, '8': 512, '22': 512}",0.12883017938701302,0.04059962601049319,88,186,0.12883017938701302,0.08938099598497773,0.11592125427623257,False
formal high-sampling agent_search/higher7_asphereonly1_best.zmx,"{'5.6': 1024, '8': 512, '22': 512}",0.13251645398479672,0.032289863277023594,104,186,0.13251645398479672,0.03937484589814791,0.07478275348173291,False
smooth_central1,256,0.1331585976468037,0.0344703604075181,103,186,0.1331585976468037,0.05603424794778819,0.0840330173906082,False
higher7_asphereonly1,256,0.13336679773522553,0.032599022031095125,103,186,0.13336679773522553,0.0396683145452868,0.07565837141762743,False
bend7_1,256,0.13299206585003198,0.03247981960209811,105,186,0.13299206585003198,0.06736303276435751,0.0824254731722237,False
