f_number,reference_height_fraction,frequency_lp_mm,direction,reference,model,model_minus_reference,sampling
5.6,0,5,T,0.9,0.8843659846513804,-0.015634015348619634,1024
5.6,0,5,S,0.9,0.8843659846513804,-0.015634015348619634,1024
5.6,0,10,T,0.79,0.7729593541835917,-0.017040645816408295,1024
5.6,0,10,S,0.79,0.7729593541835917,-0.017040645816408295,1024
5.6,0,20,T,0.64,0.5366721759060487,-0.10332782409395136,1024
5.6,0,20,S,0.64,0.5366721759060487,-0.10332782409395136,1024
5.6,0.2,5,T,0.66,0.616036554008633,-0.043963445991367034,1024
5.6,0.2,5,S,0.8,0.6654275438638557,-0.13457245613614433,1024
5.6,0.2,10,T,0.47,0.3753643581179508,-0.09463564188204915,1024
5.6,0.2,10,S,0.59,0.5429053049124213,-0.047094695087578686,1024
5.6,0.2,20,T,0.32,0.20215178040258774,-0.11784821959741226,1024
5.6,0.2,20,S,0.4,0.352666875265806,-0.04733312473419404,1024
5.6,0.4,5,T,0.48,0.5885238585569451,0.10852385855694513,1024
5.6,0.4,5,S,0.68,0.5282009781318678,-0.1517990218681322,1024
5.6,0.4,10,T,0.28,0.38416928257953775,0.10416928257953773,1024
5.6,0.4,10,S,0.41,0.4083077157748812,-0.0016922842251188008,1024
5.6,0.4,20,T,0.055,0.15228598665678808,0.09728598665678809,1024
5.6,0.4,20,S,0.28,0.25088537427878727,-0.02911462572121276,1024
5.6,0.6,5,T,0.42,0.7834430597290714,0.36344305972907137,1024
5.6,0.6,5,S,0.58,0.4201481090274227,-0.15985189097257724,1024
5.6,0.6,10,T,0.215,0.6171389891089107,0.40213898910891077,1024
5.6,0.6,10,S,0.32,0.3234263965337343,0.003426396533734277,1024
5.6,0.6,20,T,0.07,0.4627534364821687,0.3927534364821687,1024
5.6,0.6,20,S,0.235,0.2172604873842393,-0.017739512615760678,1024
5.6,0.68,5,T,0.4,0.8313689213858018,0.43136892138580174,1024
5.6,0.68,5,S,0.54,0.38496529018369435,-0.15503470981630568,1024
5.6,0.68,10,T,0.21,0.6476758384068483,0.4376758384068483,1024
5.6,0.68,10,S,0.29,0.2933211456944296,0.0033211456944295947,1024
5.6,0.68,20,T,0.09,0.4786481513455369,0.3886481513455369,1024
5.6,0.68,20,S,0.21,0.20568137275899326,-0.004318627241006734,1024
8,0,5,T,0.94,0.9486776212660823,0.008677621266082403,512
8,0,5,S,0.94,0.9486776212660823,0.008677621266082403,512
8,0,10,T,0.865,0.8587314111392448,-0.006268588860755209,512
8,0,10,S,0.865,0.8587314111392448,-0.006268588860755209,512
8,0,20,T,0.69,0.6280988744623024,-0.061901125537697554,512
8,0,20,S,0.69,0.6280988744623024,-0.061901125537697554,512
8,0.2,5,T,0.8,0.8212382530741363,0.021238253074136293,512
8,0.2,5,S,0.92,0.9383218610233995,0.0183218610233995,512
8,0.2,10,T,0.6,0.5329599912049332,-0.06704000879506677,512
8,0.2,10,S,0.78,0.8261921455105459,0.046192145510545846,512
8,0.2,20,T,0.39,0.30680148686899583,-0.08319851313100418,512
8,0.2,20,S,0.57,0.5551375640938129,-0.014862435906187077,512
8,0.4,5,T,0.67,0.6240731571115108,-0.04592684288848925,512
8,0.4,5,S,0.79,0.8254453013802742,0.03544530138027413,512
8,0.4,10,T,0.41,0.2730790973829693,-0.13692090261703066,512
8,0.4,10,S,0.57,0.6416320816469783,0.07163208164697832,512
8,0.4,20,T,0.14,0.08725485377500376,-0.05274514622499625,512
8,0.4,20,S,0.4,0.3982355416021572,-0.0017644583978428385,512
8,0.6,5,T,0.54,0.6915098188154444,0.15150981881544434,512
8,0.6,5,S,0.53,0.5418088380175705,0.011808838017570489,512
8,0.6,10,T,0.3,0.468383252356912,0.16838325235691204,512
8,0.6,10,S,0.35,0.41967773799887004,0.06967773799887006,512
8,0.6,20,T,0.14,0.20767172037381715,0.06767172037381713,512
