f_number,reference_height_fraction,frequency_lp_mm,direction,reference,model,model_minus_reference,sampling
5.6,0,5,T,0.9,0.8921743434432879,-0.00782565655671208,1024
5.6,0,5,S,0.9,0.8921743434432879,-0.00782565655671208,1024
5.6,0,10,T,0.8,0.7994732879879547,-0.0005267120120453495,1024
5.6,0,10,S,0.8,0.7994732879879547,-0.0005267120120453495,1024
5.6,0,20,T,0.64,0.6272180880498763,-0.012781911950123681,1024
5.6,0,20,S,0.64,0.6272180880498763,-0.012781911950123681,1024
5.6,0.1,5,T,0.825,0.7923735699432304,-0.03262643005676957,1024
5.6,0.1,5,S,0.87,0.8349190336759656,-0.035080966324034346,1024
5.6,0.1,10,T,0.685,0.6078787845537765,-0.07712121544622352,1024
5.6,0.1,10,S,0.74,0.6905521230572402,-0.04944787694275976,1024
5.6,0.1,20,T,0.515,0.41086631478850805,-0.10413368521149197,1024
5.6,0.1,20,S,0.565,0.4773959255464669,-0.08760407445353302,1024
5.6,0.2,5,T,0.69,0.6733973503500337,-0.016602649649966272,1024
5.6,0.2,5,S,0.8,0.7221271357425093,-0.07787286425749074,1024
5.6,0.2,10,T,0.475,0.46511702654459586,-0.00988297345540412,1024
5.6,0.2,10,S,0.615,0.5979158821177999,-0.0170841178822001,1024
5.6,0.2,20,T,0.29,0.2290945612040679,-0.060905438795932076,1024
5.6,0.2,20,S,0.435,0.4067860406125975,-0.02821395938740251,1024
5.6,0.3,5,T,0.565,0.5566100370592809,-0.008389962940719031,1024
5.6,0.3,5,S,0.73,0.6481628974493902,-0.08183710255060983,1024
5.6,0.3,10,T,0.325,0.308894734229203,-0.016105265770797017,1024
5.6,0.3,10,S,0.5,0.5299785319735191,0.029978531973519074,1024
5.6,0.3,20,T,0.11,0.15642905664866036,0.04642905664866036,1024
5.6,0.3,20,S,0.3,0.35651991619873236,0.05651991619873237,1024
5.6,0.4,5,T,0.49,0.4701951218816393,-0.01980487811836068,1024
5.6,0.4,5,S,0.68,0.574088151762489,-0.1059118482375111,1024
5.6,0.4,10,T,0.22,0.23949104388262932,0.019491043882629316,1024
5.6,0.4,10,S,0.42,0.4744040648797029,0.054404064879702896,1024
5.6,0.4,20,T,0.045,0.08861539387057671,0.04361539387057671,1024
5.6,0.4,20,S,0.28,0.3189014248063221,0.03890142480632208,1024
5.6,0.5,5,T,0.46,0.48311146902431357,0.023111469024313547,1024
5.6,0.5,5,S,0.63,0.531863941900983,-0.09813605809901704,1024
5.6,0.5,10,T,0.21,0.2559786012782449,0.04597860127824491,1024
5.6,0.5,10,S,0.37,0.437235880349063,0.06723588034906303,1024
5.6,0.5,20,T,0.06,0.04887118089092226,-0.011128819109077738,1024
5.6,0.5,20,S,0.27,0.28996168709269066,0.01996168709269064,1024
5.6,0.6,5,T,0.425,0.5067818393619874,0.08178183936198741,1024
5.6,0.6,5,S,0.575,0.49818212340068324,-0.07681787659931671,1024
5.6,0.6,10,T,0.215,0.28599352771030484,0.07099352771030484,1024
5.6,0.6,10,S,0.32,0.40851978421270846,0.08851978421270845,1024
5.6,0.6,20,T,0.085,0.09081192664974717,0.005811926649747168,1024
5.6,0.6,20,S,0.24,0.269949779835445,0.029949779835445,1024
5.6,0.68,5,T,0.39,0.5063004442692596,0.11630044426925956,1024
5.6,0.68,5,S,0.525,0.4761015516321078,-0.0488984483678922,1024
5.6,0.68,10,T,0.2,0.30734857105465874,0.10734857105465873,1024
5.6,0.68,10,S,0.285,0.3897739996903381,0.10477399969033813,1024
5.6,0.68,20,T,0.09,0.13301086456489444,0.04301086456489445,1024
5.6,0.68,20,S,0.2,0.26473798229754625,0.06473798229754624,1024
8,0,5,T,0.94,0.954286624803929,0.01428662480392906,512
8,0,5,S,0.94,0.954286624803929,0.01428662480392906,512
8,0,10,T,0.87,0.8778574829094357,0.007857482909435665,512
8,0,10,S,0.87,0.8778574829094357,0.007857482909435665,512
8,0,20,T,0.69,0.6785633777035976,-0.011436622296402299,512
8,0,20,S,0.69,0.6785633777035976,-0.011436622296402299,512
8,0.1,5,T,0.87,0.9431660190398009,0.07316601903980091,512
8,0.1,5,S,0.94,0.9528136395669882,0.012813639566988222,512
8,0.1,10,T,0.78,0.841079318178516,0.06107931817851597,512
8,0.1,10,S,0.855,0.8728091199089814,0.017809119908981375,512
8,0.1,20,T,0.595,0.5879961105512638,-0.0070038894487362,512
8,0.1,20,S,0.64,0.6631723677666829,0.023172367766682855,512
8,0.2,5,T,0.765,0.8864394671609852,0.12143946716098519,512
8,0.2,5,S,0.915,0.9481967595191741,0.03319675951917411,512
8,0.2,10,T,0.61,0.6840669954030167,0.07406699540301676,512
8,0.2,10,S,0.795,0.8598001931002085,0.06480019310020846,512
8,0.2,20,T,0.39,0.3823298115579216,-0.007670188442078396,512
8,0.2,20,S,0.55,0.635514857875272,0.08551485787527191,512
8,0.3,5,T,0.68,0.7398604185359916,0.059860418535991555,512
8,0.3,5,S,0.86,0.9336653116342315,0.07366531163423151,512
8,0.3,10,T,0.48,0.4324296010653454,-0.04757039893465459,512
